,answer
10,"间接性发奋图强，持续性混吃等死。
每天的生活状态要分为两种，
一种是悠然自得，每天七点半起床，
八点半到十一点五十应该在上课，
十二点到一点午休时间，边看剧边吃饭，刷刷知乎。
下午一点到三点是休闲时间，去实验室做实验，和同学去看电影，或者躺在床上咸鱼。四点到六点是复习时间，背英语单词，看看上午的内容。
然后就是愉快的浪浪浪的时间，去吃晚饭，一般去小吃一条街吃小吃，撸串或者自己diy所谓的减肥餐，吃完晚饭要快走一个半小时的路，
做完以上活动基本就到八点到八点半的样子，回寝室，洗漱，躺床上玩手机，十一点甚至更晚睡觉。
————～～～～～————～～～～～———
另外一种是受不了自己这么悠闲，开始“作”的生活了
早上六点半起床，吃完早饭七点，晨跑到七点半
七点四十到八点半早自修，背单词。
八点半到十一点半上课。
十二点到一点，吃午饭午休。
一点到两点，午觉。
两点到六点，图书馆自修。
六点到六点半，晚饭。
六点半到九点半，图书馆自修。
九点半到十点，回寝室洗漱。
十点到十一点，会看一些实体书，专业原因，会看一些医学古籍。
十一点到十一点半，回忆一下今天干了什么，明天要干什么。
以上作息一般在考试月。。。"
11,某系统内公务员一枚，早晨八点半上班，一般七点四十起床，洗漱，八点蹬摩拜去单位，八点十五到单位吃饭，八点半上班，上午上班到十二点，然后在单位吃午饭，午休，下午两点上班，五点半下班。在单位忙的时候干活，没啥事的时候玩玩手机跟同事聊聊天，晚上值班就住单位点个外卖，不值班五点半回家在楼下随意买点吃的。晚上一般会看书，弹吉他，打游戏，十一点多听着相声入睡。这就是体制内的稳定，不知道该喜该忧。
12,"大一亲生。
6:22 起床，匆匆忙忙洗漱
7:00 早读
8:00 上课
...
11:40下课
午饭
2:00上课
...
5:40下课
晚饭
7:00 上课
8:40下课
回寝室洗漱，看书，学习，聊天，玩手机
12:15睡觉"
13,"又到月底了，明天最后一天，可是我的KPI还没达标。
回到正题，总得来说：
公司<-->家
点开：
6:20 起床洗漱
7:10 到公司
Tips
早起有好处，不堵，顺畅，心情也好；
早上的景色美啊；
可以梳理下当天的事项；
复习下英语，一月背四篇小短文；
看下热点新闻，还可以写点感受；
也可以躲在车里，直到八点前才去办公室。
8:00 上班了
Tips
先来一阵音乐。
再听女人们家长里短，介绍老公孩子婆婆公公同学朋友轶事半小时。
8:30 正式上班了
客户总部供应商，进料生产库存，整理会议报表。
17:00 下班
Tips
先堵一小时再到家。
晚饭
发呆，锻炼，看手机，英语打卡。
23:00 睡觉
Tips
不甘心的睡去了。
Tomorrow maybe another day, but almost same to me..."
14,"谢谢邀请。
早上七点四十闹钟响，醒，迷迷糊糊收蚂蚁森林能量，穿衣服，刷牙洗脸，和彬彬讲我出门啦，拿包穿鞋骑小电驴出门。
公司对面早餐摊买个手抓饼，放个蛋，甜辣酱，一个红枣豆浆。
八点四十五打卡上班，整理昨天工作的思绪，开始早上的工作，十一点半，和同事一起去食堂吃饭。
休息到十二点四十五，开始下午的工作，两点半泡杯奶茶，五点一刻把自己座位上垃圾倒了，五点四十收拾东西，五点四十五打卡下班。
六点一刻左右到家，帮阿姨盛饭，吃饭不表，吃完洗澡上床，有好看的电影会和彬彬去看电影，绣一会十字绣，玩会手机，十一点左右睡觉。每天都很平凡，每天也都很快乐。"
15,"近年刚毕业，普通上班族，在一家建筑公司当出纳，租了一间离公司很近的老房子里的单身公寓，12平米。
八点半上班，因为不喜欢吃外面的东西，所以要七点就起床给自己煮点粥或者打杯豆浆喝，一边吃早饭一边看小说，隔一天早上洗一次头。洗漱吃饭完毕后一般是八点十分，出门。
工作一般是报销、取钱、登记各种明细账、上工资还有领导交代的各种乱七八糟的活儿，有事情就做事，没事玩手机看小说或者画会画练练字。但最近在看有关英汉翻译的书。
中午十二点去公司楼上吃午饭，吃完后，夏天会睡觉，冬天太冷了不睡还是看书练字。
下午一点半上班，五点半下班。
有心情的话就买点菜回家炒一炒，没心情就吃冰箱里的速冻饺子或者泡面。吃完饭洗漱泡脚上床大概八点，有时候看电影有时候看书，大部分时间都在sai里面画了又擦擦了又画。
画出稍微好看的图就迫不及待地传到网上，然后收到赞和一个回复能开心好久，有时候甚至激动得睡不着。
十点半左右和一个很好的朋友互道晚安后，十一点睡觉。"
16,"女， 三猫家长 ，独居单身狗， 坐标深圳
8:00-9:00 起床洗漱 喂锚铲屎 化妆出门
9:00-10:00 上班路上
10:00-12:30 上班part1
12:30-14:00 午饭午睡
14:00-19:00 上班part2
19:00-20:00 下班回家
20:00-21:30 喂锚铲屎 整理家务 洗澡洗漱
21:30-0:00 空闲时间：撸猫／看剧／看书／刷知乎豆瓣微博淘宝
0:00-0:30 猫夜宵和猫刷牙时间
0:30-1:00 准备入睡 然后入睡
嗯就是几乎没有什么社交的普通的一天又一天
没有别人以为的那么好，也没有自己想象的那么糟糕"
17,"六点起床。
六点半洗漱完毕。
出门上学。
吃早餐
8点上课。
11点半放学
吃饭
写作业
一点半上学
五点半放学
吃饭
写作业到九点
运动，做到10点半
吃蛋白粉，鸡蛋
洗漱
看半小时书籍
上床刷手机
12:00睡觉
周末
9点起床
刷手机
吃中饭
睡觉
刷手机
写作业到5:00
耍手机
吃饭
健身
洗澡
睡觉(9:00)"
18,"和普通大学生一样的咸鱼生活，最近在做模型设计大赛的模型，还报名参加了省赛，还想寒假支教。
日常生活，上课睡觉吃饭玩手机。"
19,"我啊，七点半的铃，八点半九点才起，洗漱完去楼上学习一会，十点半下来做饭买菜，饭后回来上楼学习，到五点半左右下来做饭，七点半左右吃过饭看着弟弟写完作业互道晚安就回卧室玩手机十一点准时睡觉。
手机上记录的睡眠时间都是九个半小时 我咋那么能睡。
马上该考试了，还该玩玩，手机不离手，我可能考不上了吧。
－－至没有自制力的我"
20,"早上七点起床，吃饭，去学习，晚上十点半回宿舍，看视频，十二点，睡觉。



嗯。。差不多每天都这样，不过偶尔看看小蓝，勾搭勾搭附近的人，合适的话在顺便面个基。"
21,每天办公室，家两点一线，最多加个食堂。我是这么热爱工作，希望领导加工资啊
22,"6：05起床
6：40出门做早操
7：00下操去食堂吃早饭
7：30吃完回寝室玩手机看小说
7：50出门去上课
8：00—11：40上课
11：40下课吃午饭
12：20吃完午饭回寝室
12：30—13：00看小说玩手机
13：00—13：30睡午觉
13：45出门上课
14：00—15：40上课
15：40下课回宿舍
16：30吃晚饭
19：00—21：00上晚课或者自习
21：20到宿舍洗澡
22：20洗漱完吹完头发
22：40熄灯睡觉"
23,我是在美容院上班做顾问，住呢就在这一个小区，平常上下班真的很方便，每天跟顾客聊聊天，看看顾客的皮肤，再给一些建议，挺愉快的，不知不觉来了7年了，跟各种各样的顾客交流可以学到很多知识，择其善者而学之，可以少走很多弯路。
24,7点起床洗漱，到楼下吃早餐，8点上班到11点半下班，去超市买点菜，回家自己做午饭吃。然后玩玩手机，练会儿字。下午2点半上班到6点下班，在外面随便吃个晚饭。晚上7点上班到8点半下班。然后回家，洗漱完上床看会儿书，看看视频11点睡觉。
25,作为一个学生，每天就是上课，然后没课的时候有时会看书，有时逛淘宝，然后拿快递，对了，我们学校要求毕业时跑满十个马拉松，所以每天都要跑步，偷懒骑车，骑满一定距离保持一定速度就可以了，然后晚上上课或者值班，有时宿舍会开个夜谈会，有时就默默玩手机，感觉大学生还是应该多学点东西提升自己。
26,有课起床上课下午兼职没课睡到自然醒
27,早上有课就7点起来，没有课就晚一点，然后就是上课，十二点半吃饭。没课的时候去兼职，或者和舍友一起去拍照，看看周围的风景。然后时间就这样过去了
28,我是一个铁路职工吧，平时上班也挺轻松的，没事呆办公室，休息也挺多，平时找找开发票的帮领导弄点外快。。呵呵，我也没想到自己会变成这样！！！
29,"每天就上课。
几乎每天去喂学校里的猫咪，不断发现新的猫咪。一开始喂它们，它们会抓我，不过不会破皮，现在会冲我翻肚皮，见到我喵喵叫。
在宿舍会看会书，什么类型都有，最近看散文。不看书会打游戏，农药或者吃鸡。
有作业就去自习室写作业，这是我唯一出门擦口红的情况。如果在自习室不认真学习都对不起我的口红。
一般两天跟麻麻通一次电话，闲聊拌嘴。
之前有对象的时候，每天他跑来找我，晚上出去骑车玩，出去吃顿饭，但所有的事情会堆到晚上回宿舍。
分手以后悠闲很多，有大把的时间去消磨，喂喂猫，打把游戏，有喜欢的电影就一个人看场电影。
日常枸杞泡水。
买水果经常碰到帅哥美女，大胆喵两眼，感叹一句真漂亮，再无下文。
准备考研，每天会背点单词。
乏于认识新的人，喜欢独来独往。
下课了去吃饭，回来接着写。
大一大二时有各种社交，后来腻了人与人之间勾心斗角，只留着特别交心的朋友，退了所有的社团。
长相4分，可能性格比较受欢迎，大一大二时社交还可以，大二下开始慢慢地不去各种社交场合，不去迎合任何人。带来的改变就是，没有人陪我第二杯半价，没有太多人记得我生日会送礼物。但是留下了很多真正意义上的朋友，生活自由很多。

附上最爱的两只。"
30,"是个绿孩子
目前嘛，是在一高上学
反正我在知乎上也就小透明一个，就有啥说啥了呗✨ ︵
(""\(●-●)
家境的话，挺普通的吧，属于那种微微微微微微小康的家庭
特长嘛。。。
没啥拿得出手的
之前还有心思写写东西，现在连随笔都不碰了
画画也就只能画Q版小人，还是只有头的那种，一露身体就gg
学过很久钢琴，但是没有考级。。
唱歌还行，但是顶多的话也就路人KTV水平
sad
(我先去学习啦有空再更吧)"
31,"一个考研狗
早晨六点起床，六点半去餐厅买早点然后在去自习室的路上吃完早点，在图书馆外面背书到中午十点，接下来去自习室做题，十二点去吃午饭，然后休息到一点继续去自习室做题，做到下午五点吃晚饭，六点再去背书，背书到八点，做题，到十点回宿舍。洗漱完毕睡觉。
日复一日"
32,"07:20 闹钟响
07:25 第二个闹钟响
07:30 挣扎 起床 洗脸刷牙换衣服吃完饭
07:45 出门上班
08:30 工作
11:25 食堂吃饭
12:30 午睡
13:45 闹钟响起床继续工作
17:00 下班
18:30 晚饭
00:00 - 01:00 睡觉
中间穿插着各种玩手机玩手机玩手机"
33,"你们都这么勤奋那我就说说我是怎么混吃等死的吧。
现在大二，大专学的化学工程
七点四十睁眼
收拾一下七点五十出门
八点进班不错过点名
挨着暖气坐下之后开始玩手机
玩到十一点四十五下课
买饭回宿舍吃完饭十二点十分左右
和舍友打王者到一点半
一点四十出门上课
两点进班也不错过点名
挨着暖气坐下之后开始玩手机
玩到五点四十五下课
买饭回宿舍吃完饭六点多点
打王者玩手机
玩到晚上十一点左右睡觉


大概明年的这个时候去实习，毕业证下来之后回老家啃老。"
34,简单的说；跟吃大锅饭很相似，当然我不能说的那样具体，可能会触及不必要的敏感话题，每天都可以请假，不用着急去上班，虽然单位里有工作任务，但可以拖延，每月工资一分不少，每天闲的蛋疼，，，无事可做。
35,我养了一个小可爱（猫咪），每天除了吃饭，睡觉，上课，还要照顾它，每天疯的跟二哈一样，花钱还找事，这生活过的我穷啊，真穷！
36,"早上睡觉起来，打电话叫醒一个已经不喜欢的女孩子起床，我曾为了她把生物钟从七点半挪到了六点……
然后上班，在网上可能被一个妹子撩，那个妹子只见过我三年前的照片，而且这个妹子比我小太多，最重要的是，我可能不会和任何人表白了，所以结果很可能会错过，但是我这辈子错过的太多，麻木了
下了班，晚上回去想着到底是吃鸡还是看小说还是学习，然后，学习可能会被撇下
然后去我一个喜欢但是我配不上的女孩子的空间里转一圈，之后打开网易云音乐，睡觉"
37,不好意思，我不认识常生活。也没有这个意愿。
38,已删
39,本人现在是实习阶段，在工地干活，上班没规律。有时候半夜去，有时候白天去，感觉好累啊。
40,"日常生活？生活是什么鬼，我感觉每天只是为活着而活着，没有长远目标，也没有短期愿望，拿着份饿不死的工资，每天浑浑噩噩无所事事，被困在一座徒有虚名的小城市里。回想一下生活已经离我远去很久很久了，那段短暂而又快乐的时光还是在孩童时候，时间虽久却记忆犹新，那个时候虽然物质比较匮乏，但每天能好小伙伴们有着玩不完的游戏，那个时候从来不知无聊为何物，就向沈复《浮生六记》里《童趣》所述的一样，无忧无虑，怡然自得……俱往久矣，不复再来！只能慢慢思索活着的真谛。



























———来自一天单身狗的无病呻吟"
41,"上课。
拍照。
拍视频。
剪片子。
做作业。
打游戏。
追剧。
看书。
看电影。
吃饭。
熬夜。
熬夜。
熬夜。。。。
当代编导生的日常。
上课。
吃饭。
睡觉。
想男朋友。
等电话。
等微信。
等电话。
等微信。
等电话。
等微信。。。。。。
当代异地军恋的日常。"
42,"在日本首都留学 我的生活就是

7点30 起床洗澡
8点10 把今天可以扔的垃圾带下楼(扔垃圾要分类日本)
8点30 走到电车站
8点55 到语言学校
12点30 下课
1点10分 到家
1点30到第二天7点30 睡觉"
43,早上开会汇报前一天的工作和遇到的问题，在现场转发现问题解决问题改进一些工艺，回办公室做资料，给各生产工序发一些文件，做一些新品实验并学习一些有关的文献，了解一些市场变化
44,每天都挣扎在假努力的状态下，心好累
45,"刚进入大一
早上六点十分起床跑操
八点十分开始上课 发呆
没课就找间空教室睡觉
十二点下课就去吃饭 回寝 午睡 洗脸 上课
挨到下午四点寝室开门
我一般回寝室后就不再动弹了
赖在椅子上吃吃喝喝上网
九点半上床睡觉 一天结束
一觉醒来 重复前一天"
46,"我昨天才知道我明天要考试
我今天才知道我今天要交作业"
47,活着，或者假装活着
48,7点半起床上班，在单位忙起来的话饭都吃不上，下班看书看电视，现在成了单身狗周末也没办法去他那里换心情！
49,"我是墨尔本的一名高中生，早上定了六点半的闹钟，七点半起床，不吃早餐去赶公交，换乘火车，再走路到学校，时间刚刚好。开始上很难才听懂的课，中午跟朋友一起吃饭，再上一节课然后放学。去Coles逛一圈，去寿司店点一个寿司吃。坐公交回家。回到家后玩会电脑，然后吃饭，吃饭后陪homestay小女孩骑车，然后吃鸡吃一会。到八点半给女朋友打电话，九点半洗澡，十点开始做作业，十一点半睡觉，十二点睡着，第二天定的闹钟六点半结果七点半起床……
写下来才发现我的生活好像已经固定了，而且一点都不健康并且很懒。"
50,12小时学校疯狂学习，午夜12点过半入睡，和男朋友吵架
51,宅，看电影。
52,大一狗 每天六点起床跑步 七点半开始上课学习 晚上做兼职 忙公众号
53,"最近在看《请回答1988》，好笑又好哭，有一集狗焕他妈进到狗焕的房间，坐下来跟他说，你的所有事情，妈妈都想知道呢，能不能多跟我讲一讲啊。说完给了他一个极其笨拙的拥抱。
对于不善表达的人来说，这样的坦白真的不知道已经在心里辗转反复几百遍了。获得了解一个人的机会好辛苦啊，只要轻轻裂开一条细缝，我都会拼命挤进去的。人和人之间所谓的“聊不来”，其实就是一方不愿意向另一方敞开心扉吧，无法走进你的生活，又怎么可能走进你的心里呢。
反反复复的焦灼，也只是为了在拥抱的时候，你别挣脱。"
54,高二的学生 除了每天学习还有别的吗？学习学习学习
55,"一个在外省上着三本院校的大二学生
每天生活都很迷茫，无所事事
现在的我，没有高中时的激情
现在的我，没有拥有一技之长
现在的我，对未来充满了害怕
每天的生活轨迹都非常简单：
寝室-教学楼-食堂
这样的我是个失败的我
我也曾想过改变
我也曾想过好好生活、好好学习
打败自己最终还是自己
自己的信念不够坚决
以至于我的生活单调、乏味
想来不过这就是我的大学生活
希望自己下次来更新回答时会有不同答案"
56,早上七点多起床上班，下午3点下班回家带娃，一直到晚上10点多11点，下午娃吃了饭还要给娃和她爸，洗衣服，还要打扫卫生，每天都好累。有时候得收拾到12点
57,很平凡的学生生活，在努力让自己更加优秀的路上。
58,起来看漂亮的小姐姐
59,平淡无奇，枯燥乏味。
60,上课，吃饭，睡觉
61,上课练琴写作业
62,吃饭上课吃饭睡觉上课吃饭写作业打游戏背单词睡觉
