,answer
10,"每天九点半的闹钟

每天起来第一件事烧水，水开始烧就去刷牙。只是刷牙，然后刷完牙水也烧好了。坐着发呆喝两杯白开水。 然后进厨房把早餐弄好，一般是蒸的东西。比如蒸水蛋，或者蒸包子馒头饺子一类的。然后也烧一壶水。就去洗脸换衣服。一般弄好就可以下来吃早餐。刚刚好。
吃完早餐一般就一定要喝茶
如果今天需要买菜，那就早餐是菜市场的香菇包子和现磨豆浆。超级赞！
一般去买菜都是买材料来煲汤。买菜顺便买花。菜市场的花比较便宜。
一般把汤的材料准备好，放下炖锅，就会开始修剪花朵。一边喝茶，一边听音乐。


然后就到中午了。一般都是吃面条。因为太爱吃面条
有时候汤煲好了就和汤一起喝，没有的话就只吃面。




这个时候一般都是一点多接近两点。收拾一下再喝一壶茶就开始做手工。一般都做一些无关紧要的小东西，志在打发时间。



一般做手工的时候会直播。因为都是自己一个人。直播间里有人说话聊聊天。不用打字只是说，挺好的。不觉得自己一个人，好像有人陪伴的感觉。如果东西不赶的话，我一般在天黑了就不做手工了，东西收拾好，晚餐一般喝汤，吃水果。如果今天没煲汤做饭的话，可能会煮粥，煮一锅粥吃一天刚刚好^_^



然后吃完晚餐一般会看看剧，最爱看TVB。
喝喝茶。突然心情郁闷可能也会喝瓶酒。不过很少，大概一个月一次都没有。或者出去跑步，不过也很少，一个月大概几次。哈哈哈哈。然后洗澡躺着玩手机到深更半夜。睡前也会喝杯热奶。
就是这样，一个人的一天。
有段时间，早上会去跑步。但是现在冷了，早起跑步太痛苦了……"
11,"早：六点三十分。
⊙_⊙（……我是谁？我从哪里来？我要到哪里去？我为什么在这里？我为什么睁开眼？我可以不上班吗？中午我不想天天吃鸡肉可以吗？晚上我要吃哪个牌子的泡面？吃面时要看什么视频？视频缓冲这么慢？断网了？现在怎么办？就对着桌面发呆？晚点再洗澡吧？其实开着空调可以不洗澡吧？但衣服总要洗吧？明天起早些再洗吧？我想睡觉了。）
晚：十点四十分。
－_－zzz（……）
……
⊙_⊙（……我……我是谁？我从哪里来……）"
12,"有知友说我考军校带功利性
其实只是为了让家人不再对我失望而已 其实我根本不想考这个 我崇尚自由 可是不想让家人再暗里流泪
所以要努力 弥补一下高中对家人做的伤害
也同时告诫知乎里的高中生 千万别让自己后悔 千万别让家人流泪 就这样～
目前正在服役 过的很规律
早上六点起来叠被子整理内务洗漱跑步
七点半开饭
八点半开始训练到十二点
十二点开饭
午休
下午一般训练比较少了
！！！！！
晚上八点以后到夜里一点
就是我学习时间了
因为想在这考军校 完了一个梦吧
高中实在太渣
只能现在慢慢弥补了"
13,"大约8：00-9:30，起床。喝水，前段早起喝一个钟头的普洱，顺便练字。结果普洱导致失眠，胃口太好又胖了，就戒茶，将近一个月了。
大约10点左右，想好了吃什么，焖上饭去买菜。
大约11点左右，做好饭菜
大约12点半左右出门，最近基本都在1点左右出门。
步行1-2个小时。中间打打电话发发信息，解决点工作问题
大约2-3点，到单位（别问啥单位，不招人哈）处理点工作邮件，同事疑问也顺便上上网和同事聊工作顺便聊天，打打工作电话，顺便可能淘宝团购订餐吃水果煮奶茶之类的。
大约6点，酝酿情绪要不要离开。
6:30左右，有30%的可能，天气好的时候步行2-3小时，回家
有30%左右7点之后出门，去按摩捏脚修脚散步看电影
有30%左右看戏听音乐会，等等。
有10%左右地铁看书回家或者打车回家号称看书。
大约晚上9:30-10：30，磨叽号称准备睡觉。
大约11点30左右，磨叽上床。
除了觉得自己废了之外，其实基本是我设想过的期待过的生活。所以偶尔告诫自己不要废了，也许过两个月之后我一点点上知乎的愿望都没了也说不定。然后再好好看书去。"
14,"我是一个普通的大三的女生，由于自己的性格和一些不可抗因素，导致我的社交圈机小，基本可以视为没有。
来说说我假期的生活:

我基本和一只树懒一样，假期主攻睡觉，专攻做饭。

由于平时上学睡眠时间不够，回家基本就是睡睡睡睡
从晚上十二点睡到中午十一点
。
。
。
然后开始做各种食物
拔丝红薯
这可是我童年最爱的食物之一，每次看到糖丝拉的好长，就有一种满足感

彩虹饺子
当然这个名字是我瞎取的，用紫甘蓝，南瓜等做为原料，可以为我们的生活增添乐趣，生活已经很无趣了，为何不为自己的生活上色呢？

很家常的杏鲍菇，因为我基本是个素食主义者，所以，不要肉！！！！
然后下午开始怀旧，看各种很老很老的电视剧，这几天看武林外传，同时补充一下营养。
做个纸雕


一天完




假期快要结束了，我基本是个废人了！！！"
15,"都快忘了写过这样一个回答……高考完了回来看这个感觉好神奇!!!!
百日誓师之后认真学习了三个月……虽然是高中三年最好成绩结果还是没能考到中山大学啦(,,•́.•̀,,)
选了一个一定得考研的专业╮(｡❛ᴗ❛｡)╭大学加油啦
————————————————————————
发现回答的学生们都是学霸厚哭哭……那么分享一个懒癌晚期患者的日常_(:з」∠)_
一只高三理科平行班！
6：50起床早了真的起不来…定了两个闹铃也没用还是被我关掉了继续睡直到起床音乐停（
7点左右出宿舍和同学去食堂~吐槽一下只有高三的时候和高一高二在的时候食堂的伙食水平真的差好多！
7：20去教室…可能由于我比较老了ﾍ(￣▽￣*)ﾉ别人食堂到教学楼走3分钟我以我乌龟一般的脚速会走10分钟……
7：30开始早读辣之后就上课了，下课要么补觉要么刷题(*'▽'*)♪有时候也会在课上刷题 虽然内心一边谴责自己成绩又不好还不听课却无法停下手中的笔…

12：10下课之后和同学奔向食堂…我们学校抢饭堂太可怕了…特别是有特供（香骨鸡腿）的时候…但是我尊的不知道为什么他们都知道哪天有特供啊啊！
吃完饭大概12：50到宿舍吧 然后玩玩手机，13：40躺下睡十几分钟起床，下午2：10上课~
4：30放学，唠唠嗑到5点和同学去食堂…吃晚饭…然后回宿舍洗澡(๑ •̀ω•́)洗完澡就躺在床上玩手机辣，到6：30收拾收拾去学校
7点上晚自习，8：25下课（不过我基本继续在写作业…写不完啊QAQ），8：40第二节晚自习到10：30放学。回宿舍。
高三11点熄灯，宿管查完房以后打开手机背单词~之前定的目标没有完成，而且经历了一模以后觉得对自己的英语水平太高估了……背完之后困了就睡觉没困的话就看看小说漫画(๑ơ ₃ ơ)除非有明天不交会死的作业一般都不会带作业回宿舍哟
写完之后我记己都觉得记己浪 ！每天没有什么太新奇的事情，每周点一两次外卖，吐槽抱怨高一的不懂事……有时候想想自己也是从被学长学姐嫌弃的时候过来的，而且我在高一的时候还搞了个大新闻（误）……作为一个仅仅花费60%的精力来学习的学渣，每天刷题时都幻想着高考能考上心仪的学校，和其他回答相比应该算挺无聊的了……如果有能看到这里的……真心感谢你不嫌弃我文笔烂哈哈
放一张学校的照片吧，虽然我们老是骂它，但是不允许别人骂它喔嘻嘻

话说宝宝我下周生日，同桌送我一个印男神图案的抱枕真的猴开心啊//▽//"
16,"可怜兮兮的国际班在读。
每天早上五点五十起床，洗漱吃早饭。到校打卡大概六点三十五。
六点四十开始早读，语文或英语。（对我们很可怜，需要参加高考。某国大学们需要我们的高考成绩做参考）
七点十五早读下课。
上午一般五节主课。课间会做作业或困得不行了就趴桌上睡觉。
十一点五十吃饭。心情好会去超市买零食。
中午收外语作业。做作业。
一点午睡，睡到一点半。
下午偶尔有一二节主课。
两三节选修，走班。
每天最后一节固定外语课，去隔壁小教室。
五点十分下课。
周二周四五点四十五外语晚读。
六点开始开始晚自修，偶尔会有英语听力。
做作业慢，所以一般第三节晚自修才能完成。每天还有外语作业。
九点四十五下课回家，打卡出门。
吃完夜宵洗漱完十点半。
背半个小时外语单词。
十一点睡觉。
毕竟在学校的国际部里，我们属于弱势群体？？？（最热爱学习）来这个外语班的都是理科大佬。学校为了保证外语班学生高考成绩全上一本。圈了二十个学霸和外语班混了一个班。一共四十七个人。
说实话，国际班你要好好读，是真的很累的。基本没有节假日都在补外语。隔壁中加天天飞飞盘不是玩是因为体育有分要拿。
虽然很累，但很满足。
因为是自己的梦想。"
17,"2:00 不刷手机了。抱着已经睡着的他睡觉吧。
7:00 他的闹铃响了，尽管每天都会响半个小时他才会起来
8:00 差不多每天他都会在这个时候出发去公司，偶尔我会爬起来把预约煮的粥拿给他。
12:00 懒觉差不多了，可以起来了，主要是我饿了
13:00 边在b站上刷视频，边吃饭
14:00 打扫房间 整理床铺 洗衣服
15:00 刷很久的手机，考虑是出去买个菜 ，还是app订
17:00 吃零食 材料准备 然后开始自由散漫
21:00 问他有没有下班，开始做饭
21:30 他会回家，吃我做的饭菜，每次都吃不完。我负责清盘子
22:00 和他一起葛优瘫 看看新闻聊聊天 催着他去洗澡，嫌弃他脱了袜子的脚臭味
22:30 洗完澡 给他背上涂药 然后他就在床上扭开扭去的 一会儿就回困了。
23:00 他会睡着，我会把趴着的他翻过来，他会嘲笑我睡觉流口水
24:00 失眠开始，但不要紧，有他在。至少噩梦不会来。
一个并不算是家庭主妇的日常。"
18,你们一生的梦想，是我一天的日常。
19,"坐标杭州
7.00第一次闹钟响 关掉
7.10再响 关掉 7.20再响 关掉
7.30起床 同时打开网易云音乐
7.43塞上耳机背包出门
7.50到达租车点或者地铁四号线去公司
8.15公司 签到 开早会
8.35办公室 吃早餐或者整理文件
9.00－11.30该干嘛干嘛
11.35停下工作 思考中午吃什么 点外卖或者去热饭
12.10用餐完毕 开黑一局然后午睡一小时
13.00午睡醒来 提神 该干嘛干嘛
17.00整理文件 准备下班 思考晚上吃什么
17.30打卡下班 塞上耳机骑车回家
18.00吃饭 自己做或者小吃店解决
19.00跟朋友聊聊天 翻翻小说
20.00洗澡 上床 刷知乎 微博微信QQ
22.30关手机睡觉..
--------------------------------------------------------
难怪一直没找到对象"
20,"这是我的一天，高二文科妹子的一天
平凡到美好，并且再也不会重来，所以纪录下来
——————————————————
早晨
6:00，宿舍里还被夜色笼罩，死猪都能叫醒的铃声也没有叫醒我，枕头边放着我的校服，和书，还有手机，满满的堆在身边
6:30 楼下自习室，吃甜甜的蛋糕和牛奶，听歌，有点不情愿的开始一天
7:00 早自习，背我的红宝书3500，和死也背不下来的政治书，外面的孩子都步履匆匆，每个人都向自己的方向走去
7:45 开始上课了，今天是历数英语物政生，文科狗难得上理科课，当然要用来睡觉了

11:40 向着三层食堂跑去，这是一场3000人的竞争！中午吃的是餐盘，妈妈告诉我要好好吃饭，所以一荤一素，营养均衡
12:30 午觉真的是特别特别美好的，阳光和煦，我可以编一个白日梦，暂时离开外面的一切
（从铁栏杆内窥视的地表世界）
1:00 下午与瞌睡作战，并且在座位下不断伸我的大长腿，四处觅食，说说闲话
间操跳我们学校自制的健美操，魔幻现实主义的曲风和同手同脚的奇异步伐，真是青春的美（bei）好（can）回忆！！
6:00 开始漫长的晚自习，夜色笼罩，每个人都在埋首，我也在这浩大的征途中，2019年，我想去一个更好的地方，这是我高一一年桌子上的小鸡汤
而我不会让它成为空想
9:40 一天的疲惫拉下帷幕，在寝室的床上，看看书，听听歌，为疲惫生活加一点点诗意和美好

心里有梦想，还有年轻的满腔热血，即使有学习的压力，人际关系的纠结，我的一天已足够美好，跨越平凡的生活与琐碎，我们终能抵达未来的星河璀璨
“要成为一个很棒的人啊，研究自己喜欢的东西，并付出一生，平和而温柔，睿智而博学。” 现在的每一天我都在积蓄破茧的勇气。
愿你每一天都平凡但通向不平凡的未来
比心❤️"
21,"今年7月入职，土木 ，建筑结构设计:
7:00～7:45 起床+早餐+去单位。
7:45～9:00 背诵一些重点规范（我们注册结构师有36本规范要考，别问我有多厚有多沉）并复习一些结构力学的知识。
9:00～12:00 9点左右同事陆续上班，我9点开始做事。
12:00～12:45 跟同事去吃饭，聊天。
12:45～13:45 看知乎和微信+午休。
13:45～18:00 洗把脸开始下午的工作。
18:00～18:40 吃晚饭。
19:00～22:00 继续工作或学习。
22:00～23:00 跑步，听罗辑思维。
23:00～24:00 刷牙+洗澡+洗衣服+看书。"
